35098,LA DOMINELAIS,35390,"",LA DOMINELAIS,"47.7633908593,-1.67305925291",350.98
35124,GRAND FOUGERAY,35390,"",GRAND FOUGERAY,"47.7344338208,-1.72820099024",351.24
35316,ST SULPICE DES LANDES,35390,"",ST SULPICE DES LANDES,"47.7769253675,-1.62552770861",353.16
35288,ST MALO,35400,ST SERVAN SUR MER,ST MALO,"48.6400443482,-1.98060627256",352.88
35288,ST MALO,35400,PARAME,ST MALO,"48.6400443482,-1.98060627256",352.88
35288,ST MALO,35400,"",ST MALO,"48.6400443482,-1.98060627256",352.88
35288,ST MALO,35400,CHATEAU MALO,ST MALO,"48.6400443482,-1.98060627256",352.88
35288,ST MALO,35400,ROTHENEUF,ST MALO,"48.6400443482,-1.98060627256",352.88
35069,CHATEAUGIRON,35410,OSSE,CHATEAUGIRON,"48.0441575779,-1.50016256863",350.69
35099,DOMLOUP,35410,"",DOMLOUP,"48.0670688041,-1.54288380182",350.99
35069,CHATEAUGIRON,35410,ST AUBIN DU PAVAIL,CHATEAUGIRON,"48.0441575779,-1.50016256863",350.69
35069,CHATEAUGIRON,35410,"",CHATEAUGIRON,"48.0441575779,-1.50016256863",350.69
35204,NOUVOITOU,35410,"",NOUVOITOU,"48.0299058856,-1.55180159639",352.04
35162,LOUVIGNE DU DESERT,35420,"",LOUVIGNE DU DESERT,"48.4868885908,-1.12369660788",351.62
35018,LA BAZOUGE DU DESERT,35420,"",LA BAZOUGE DU DESERT,"48.4439442954,-1.10950795869",350.18
35190,MONTHAULT,35420,"",MONTHAULT,"48.5121983633,-1.17562696085",351.9
35230,POILLEY,35420,"",POILLEY,"48.4663238804,-1.25699060086",352.3
35271,ST GEORGES DE REINTEMBAULT,35420,"",ST GEORGES DE REINTEMBAULT,"48.5129956863,-1.23490800183",352.71
35357,VILLAMEE,35420,"",VILLAMEE,"48.4562439704,-1.21840173852",353.57
35111,LE FERRE,35420,"",LE FERRE,"48.4864153557,-1.29478720847",351.11
35174,MELLE,35420,"",MELLE,"48.4848259494,-1.19126091075",351.74
35279,ST GUINOUX,35430,"",ST GUINOUX,"48.5793096828,-1.88805991274",352.79
35306,ST PERE MARC EN POULET,35430,"",ST PERE MARC EN POULET,"48.5841780785,-1.9291577364",353.06
35070,CHATEAUNEUF D ILLE ET VILAINE,35430,"",CHATEAUNEUF D ILLE ET VILAINE,"48.5578928672,-1.92925036505",350.7
35284,ST JOUAN DES GUERETS,35430,"",ST JOUAN DES GUERETS,"48.6037491663,-1.96530816919",352.84
35314,ST SULIAC,35430,"",ST SULIAC,"48.569900609,-1.96692288512",353.14
35358,LA VILLE ES NONAIS,35430,"",LA VILLE ES NONAIS,"48.5488601096,-1.95172640786",353.58
35128,GUIPEL,35440,"",GUIPEL,"48.2923904516,-1.72349623823",351.28
35094,DINGE,35440,"",DINGE,"48.3468879458,-1.71071061366",350.94
35110,FEINS,35440,"",FEINS,"48.328121746,-1.62597037804",351.1
35195,MONTREUIL SUR ILLE,35440,"",MONTREUIL SUR ILLE,"48.3053148028,-1.6686934187",351.95
35101,DOURDAIN,35450,"",DOURDAIN,"48.1930816063,-1.37940357602",351.01
35154,LIVRE SUR CHANGEON,35450,"",LIVRE SUR CHANGEON,"48.2273048831,-1.34883997825",351.54
35347,VAL D IZE,35450,"",VAL D IZE,"48.1899182799,-1.30478438424",353.47
35141,LANDAVRAN,35450,"",LANDAVRAN,"48.1608061542,-1.28487259488",351.41
35170,MECE,35450,"",MECE,"48.2407410676,-1.28545546756",351.7
